ticker,month,timeframe,realized_pnl,trades,tp_hits,sl_hit,ref_price,spacing
BTC-USD,2025-01,1d,0.0,0,0,False,94419.7578125,4136.041294642857
ETH-USD,2025-01,1d,447.7826974051345,4,1,False,3353.504150390625,202.12295968191964
USDT-USD,2025-01,1d,0.0,0,0,False,0.9978430271148682,0.002121222870690482
XRP-USD,2025-01,1d,0.0,0,0,False,2.322340965270996,0.16443029471806117
BNB-USD,2025-01,1d,0.0,1,0,False,706.512939453125,34.34777396065848
SOL-USD,2025-01,1d,0.0,0,0,False,193.8737335205078,14.391175406319755
USDC-USD,2025-01,1d,0.0,0,0,False,0.9999449849128723,0.0016530709607260568
TRX-USD,2025-01,1d,0.08711003512144089,6,1,False,0.2553139925003052,0.011998072266578674
DOGE-USD,2025-01,1d,0.0,0,0,False,0.32430601119995117,0.027934715151786804
ADA-USD,2025-01,1d,0.0,0,0,False,0.9175919890403748,0.07457607558795384
BCH-USD,2025-01,1d,25.963969639369395,2,1,False,449.35986328125,31.795854840959823
LINK-USD,2025-01,1d,1.3583431925092402,2,1,False,21.67484474182129,2.2703196661812917
LEO-USD,2025-01,1d,0.0,0,0,False,9.075591087341309,0.3057007108415876
XMR-USD,2025-01,1d,0.0,0,0,False,195.40408325195312,13.556483677455358
XLM-USD,2025-01,1d,0.0,0,0,False,0.4237760007381439,0.034704787390572686
USDe-USD,2025-01,1d,-230.71835042749134,16,0,True,0.9796720147132874,0.033178129366465976
AVAX-USD,2025-01,1d,0.0,1,0,False,37.69343948364258,3.6093166896275113
HBAR-USD,2025-01,1d,0.0,0,0,False,0.29392099380493164,0.03297378867864609
SHIB-USD,2025-01,1d,1.0714287392537302e-06,2,1,False,2.2000000171829015e-05,1.7142861647049098e-06
DAI-USD,2025-01,1d,0.0,0,0,False,0.9997929930686951,0.0010231264999934605
TON-USD,2025-01,1d,-238.06769083333865,16,0,True,1.6026639938354492,0.12829455307551793
CRO-USD,2025-01,1d,0.012462852256638651,2,1,False,0.1503240019083023,0.013745569757052831
AAVE-USD,2025-01,1d,13.745246887207031,2,1,False,319.34600830078125,38.13868713378906
BGB-USD,2025-01,1d,0.0,0,0,False,5.914109230041504,1.0317282846995763
OKB-USD,2025-01,1d,0.0,0,0,False,48.423458099365234,3.2969534737723216
NEAR-USD,2025-01,1d,0.3844453607286722,2,1,False,5.276052951812744,0.48536566325596403
ETC-USD,2025-01,1d,0.0,0,0,False,25.757831573486328,2.039857864379883
ICP-USD,2025-01,1d,0.0,1,0,False,10.489413261413574,0.9830824307032994
XAUt-USD,2025-01,1d,0.0,0,0,False,2621.71728515625,22.266130719866073
WLD-USD,2025-01,1d,0.30199724435806274,2,1,False,2.2235219478607178,0.21368944644927979
PAXG-USD,2025-01,1d,0.0,0,0,False,2623.677734375,26.367030552455358
KCS-USD,2025-01,1d,0.0,0,0,False,10.425841331481934,0.5290632247924805
