ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
PAXG-USD,2025-06,1d,-0.11787959441111526,1,1,0.0221428825937659
AAVE-USD,2025-06,1d,0.19491988669857163,13,1,0.09054137595727334
OKB-USD,2025-06,1d,-0.015083189837750978,5,1,0.04707008096672337
ONDO-USD,2025-06,1d,-0.263642405296996,6,2,0.07692439567161159
USDD-USD,2025-06,1d,-0.00032673792222340123,0,0,0.015
BNB-USD,2025-07,1d,0.3484803969461791,12,1,0.03383986768460986
XRP-USD,2025-07,1d,0.3325753540401456,14,1,0.04958206302924657
SOL-USD,2025-07,1d,0.15893504606290662,11,1,0.056765779250213345
TRX-USD,2025-07,1d,0.23717260066756352,7,2,0.02090985612910639
DOGE-USD,2025-07,1d,0.26624797189377203,15,1,0.06765052045390196
BCH-USD,2025-07,1d,0.19160836152059346,7,0,0.0709315498242031
LEO-USD,2025-07,1d,-0.018051900042719355,0,0,0.08813356919806431
LINK-USD,2025-07,1d,0.3475145187470844,14,1,0.059161827084307526
XLM-USD,2025-07,1d,0.24590792357546887,16,1,0.0696812438451659
XAUt-USD,2025-07,1d,-0.005589736576530413,1,0,0.02053178731056527
BGB-USD,2025-07,1d,-0.20175925587529492,7,8,0.02023716687281513
PAXG-USD,2025-07,1d,-0.07751738298011333,0,0,0.0221428825937659
AAVE-USD,2025-07,1d,0.21587587212818105,13,1,0.09054137595727334
OKB-USD,2025-07,1d,-0.08856769808124226,0,0,0.04707008096672337
ONDO-USD,2025-07,1d,0.16008163767946826,16,1,0.07692439567161159
USDD-USD,2025-07,1d,-0.035228277627284116,0,0,0.015
BNB-USD,2025-08,1d,0.15088281340355023,7,1,0.03383986768460986
XRP-USD,2025-08,1d,-0.2133087960173543,2,1,0.04958206302924657
SOL-USD,2025-08,1d,0.46778653250878055,15,0,0.056765779250213345
TRX-USD,2025-08,1d,0.13930443645673224,7,3,0.02090985612910639
DOGE-USD,2025-08,1d,0.13918814534703416,11,1,0.06765052045390196
BCH-USD,2025-08,1d,-0.08711542891607678,4,1,0.0709315498242031
LEO-USD,2025-08,1d,0.12251396463483616,3,0,0.08813356919806431
LINK-USD,2025-08,1d,0.1559764726254798,12,1,0.059161827084307526
XLM-USD,2025-08,1d,-0.09440245587322352,4,1,0.0696812438451659
XAUt-USD,2025-08,1d,0.11187422440681984,1,0,0.02053178731056527
BGB-USD,2025-08,1d,-0.021307650366470626,7,4,0.02023716687281513
PAXG-USD,2025-08,1d,0.11380464068519358,1,0,0.0221428825937659
AAVE-USD,2025-08,1d,0.12615482454099036,8,0,0.09054137595727334
OKB-USD,2025-08,1d,0.19387342969934251,14,2,0.04707008096672337
ONDO-USD,2025-08,1d,0.13522428089889216,8,0,0.07692439567161159
USDD-USD,2025-08,1d,-0.0007157673082838301,0,0,0.015
BNB-USD,2025-09,1d,0.13956990193713864,10,2,0.03383986768460986
XRP-USD,2025-09,1d,-0.0028043934544439253,5,1,0.04958206302924657
SOL-USD,2025-09,1d,-0.05480613345167512,8,2,0.056765779250213345
TRX-USD,2025-09,1d,-0.11689416023442391,2,2,0.02090985612910639
DOGE-USD,2025-09,1d,0.12019243507849751,10,1,0.06765052045390196
BCH-USD,2025-09,1d,0.008506070293005905,6,1,0.0709315498242031
LEO-USD,2025-09,1d,-0.01670328401178267,0,0,0.08813356919806431
LINK-USD,2025-09,1d,-0.050392768288475054,4,1,0.059161827084307526
XLM-USD,2025-09,1d,0.024010287923065334,7,1,0.0696812438451659
XAUt-USD,2025-09,1d,0.17743453604749446,3,0,0.02053178731056527
BGB-USD,2025-09,1d,0.20551867310508895,8,3,0.02023716687281513
PAXG-USD,2025-09,1d,0.16025570078845702,4,0,0.0221428825937659
AAVE-USD,2025-09,1d,-0.19966480312328716,2,1,0.09054137595727334
OKB-USD,2025-09,1d,0.2232346967077501,10,1,0.04707008096672337
ONDO-USD,2025-09,1d,-0.09610774932602,6,1,0.07692439567161159
USDD-USD,2025-09,1d,-0.043547267914545953,1,0,0.015
BNB-USD,2025-10,1d,-0.005714404325044597,13,5,0.03383986768460986
XRP-USD,2025-10,1d,-0.03167815197499294,9,2,0.04958206302924657
SOL-USD,2025-10,1d,-0.09921653101107951,9,2,0.056765779250213345
TRX-USD,2025-10,1d,-0.15719081886907588,2,4,0.02090985612910639
DOGE-USD,2025-10,1d,-0.12135468408509041,13,3,0.06765052045390196
BCH-USD,2025-10,1d,-0.05058929894523317,10,2,0.0709315498242031
LEO-USD,2025-10,1d,0.002750662305188598,0,0,0.08813356919806431
LINK-USD,2025-10,1d,-0.2699564437587469,7,3,0.059161827084307526
XLM-USD,2025-10,1d,-0.10729148593261925,10,2,0.0696812438451659
XAUt-USD,2025-10,1d,0.09067032031911366,4,3,0.02053178731056527
BGB-USD,2025-10,1d,-0.08854568624286913,6,7,0.02023716687281513
PAXG-USD,2025-10,1d,-0.14735922497768117,4,4,0.0221428825937659
AAVE-USD,2025-10,1d,-0.023769556519309842,15,2,0.09054137595727334
OKB-USD,2025-10,1d,-0.2181636036679447,7,3,0.04707008096672337
ONDO-USD,2025-10,1d,-0.20255704585877538,11,2,0.07692439567161159
USDD-USD,2025-10,1d,-0.0008682171558939445,0,0,0.015
