ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
SOL-USD,2025-04,1d,0.6502072265345122,9,0,9,6.8624803203053695
TRX-USD,2025-04,1d,0.2320235312111254,4,0,4,3.7500217655907413
DOGE-USD,2025-04,1d,0.4411769553509658,7,0,7,7.734565253034773
BCH-USD,2025-04,1d,0.6176736614872971,11,0,11,7.198284698903004
LEO-USD,2025-04,1d,0.3222234152601777,5,0,5,4.067778450328817
LINK-USD,2025-04,1d,0.3506485157145107,6,0,6,7.542675456825871
XLM-USD,2025-04,1d,0.3707607227152039,8,0,8,7.352852246518241
XAUt-USD,2025-04,1d,0.11973923447019842,3,0,3,2.7919107959796103
BGB-USD,2025-04,1d,0.5747370522532583,7,0,7,4.9058664474298315
PAXG-USD,2025-04,1d,0.07593967235192395,4,0,4,2.869513540844762
AAVE-USD,2025-04,1d,0.4662972480565077,7,0,7,8.314929030599023
OKB-USD,2025-04,1d,0.3537245965257171,6,0,6,3.510077127514275
ONDO-USD,2025-04,1d,0.3822015104719321,11,0,11,10.0
USDD-USD,2025-04,1d,0.001115347878785542,0,0,0,1.5
BNB-USD,2025-05,1d,0.1896540683443709,6,0,6,4.291319260516727
XRP-USD,2025-05,1d,-0.33501822995604014,4,0,4,6.561706560758393
SOL-USD,2025-05,1d,-0.05608904199370954,5,0,5,8.459200611535765
TRX-USD,2025-05,1d,0.2465026644272257,6,0,6,4.266012261184068
DOGE-USD,2025-05,1d,-0.32799888235818797,6,0,6,10.0
BCH-USD,2025-05,1d,0.42150523494803566,6,0,6,7.653774434712965
LEO-USD,2025-05,1d,0.16572306379302973,3,0,3,4.467347280927539
LINK-USD,2025-05,1d,0.21224602700154718,9,0,9,10.0
XLM-USD,2025-05,1d,0.18819626590808183,6,0,6,6.810370187266815
XAUt-USD,2025-05,1d,0.31915210966537416,2,0,2,2.0856630141357693
BGB-USD,2025-05,1d,-0.043225244649984236,7,0,7,8.567943106554873
PAXG-USD,2025-05,1d,0.33739106698467364,2,0,2,2.095251154995655
AAVE-USD,2025-05,1d,0.314013304020591,11,0,11,10.0
OKB-USD,2025-05,1d,-0.37840234055636757,2,0,2,3.019371164730071
ONDO-USD,2025-05,1d,-0.14947601670943186,4,0,4,10.0
USDD-USD,2025-05,1d,0.0006975021239850321,0,0,0,1.5
BNB-USD,2025-06,1d,0.43593750000000003,3,0,3,2.9830479298871504
XRP-USD,2025-06,1d,0.515625,7,0,7,6.554451418869919
SOL-USD,2025-06,1d,0.421875,6,0,6,8.126868146513669
TRX-USD,2025-06,1d,0.4493891052077924,6,0,6,3.03941393062112
DOGE-USD,2025-06,1d,0.5055252261913483,5,0,5,7.8439901022786795
BCH-USD,2025-06,1d,0.4875,10,0,10,7.7205410278474575
LEO-USD,2025-06,1d,0.3508071470127288,5,0,5,2.542158106355482
LINK-USD,2025-06,1d,0.5482713312437955,7,0,7,8.401245148970574
XLM-USD,2025-06,1d,-0.12772209110147742,3,0,3,6.246941617722202
XAUt-USD,2025-06,1d,0.07880713009666579,2,0,2,1.6030213951210344
BGB-USD,2025-06,1d,0.47591135775788646,5,0,5,5.282286530110409
PAXG-USD,2025-06,1d,0.036889748686098754,2,0,2,1.6872177495763843
